Symbol,Description
AAR-UN.to,Pure Industrial Real Est
ABK-A.to,Allbanc Split Corp Class
ACO-X.to,Atco Ltd- Cl-I Nv
ACO-Y.to,Atco Ltd Cl II
ACR-UN.to,Agellan Commercial REIT
ADW-A.to,Andrew Peller Limited C
AET-UN.to,Argent Energy Trust
AEU-UN.to,Activenergy Income Fund
AGF-B.to,Agf Management Ltd- Cl-
AKT-A.to,Akita Drilling Ltd- Cl-
AP-UN.to,Allied Properties Real E
ATD-A.to,Alimentation Couche-Tard
ATD-B.to,Alimentation Couche-Tard
AUI-UN.to,Australian Banc Income F
AV-UN.to,Aston Hill Adv Vip Incom
AW-UN.to,A&W Revenue Royalties In
AX-UN.to,Artis Real Estate Invest
BAM-A.to,Brookfield Asset Managem
BBD-A.to,Bombardier Inc- Cl- A
BBD-B.to,Bombardier Inc- Cl- B
BEI-UN.to,Boardwalk Real Estate In
BEK-B.to,Becker Milk Company Ltd-
BEP-UN.to,Brookfield Renewable Ene
BGI-UN.to,Brookfield Glbl Infras S
BHY-UN.to,Brookfield High Yld Stra
BI-UN.to,Bloom Inc and Growth CAD
BIG-D.to,Big 8 Split Inc Class D
BIP-UN.to,Brookfield Infra Partner
BOX-UN.to,Brookfield Canada Office
BPF-UN.to,Boston Pizza Royalties I
BPY-UN.to,Brookfield Property Part
BSD-UN.to,Brookfield Soundvest Spl
BSO-UN.to,Brookfield Select Opport
BTB-UN.to,Btb REIT Units
BYD-UN.to,Boyd Group Income Fund
CAG-UN.to,Coxe Global Agribusiness
CAR-UN.to,CDN Apartment Un
CBB-A.to,First Asset Core Balance
CBO-A.to,Ishares 1-5Yr Laddered C
CCI-UN.to,Canadian Convertibles Pl
CCL-A.to,Ccl Inc- Cl A
CCL-B.to,Ccl Industries Inc- Cl-
CDD-UN.to,Core Canadian Dividend T
CDZ-A.to,Ishares Sp TSX CDN Divid
CEF-A.to,Central Fund of Canada L
CES-B.to,First Asset Core US Equi
CEW-A.to,Ishares Equal Weight Ban
CGL-C.to,Ishares Gold Bullion ETF
CHB-A.to,Ishares US HY Fixed Inco
CHE-UN.to,Chemtrade Logistics Inco
CHP-UN.to,Choice Properties REIT
CHR-A.to,Chorus Aviation Inc Cl A
CHR-B.to,Chorus Aviation Inc Cl B
CIE-A.to,Ishares Intl Fundamental
CIQ-UN.to,Canadian High Income Equ
CJR-B.to,Corus Entertainment Inc-
CLF-A.to,Ishares 1-5 Yr Ladder Go
CLU-A.to,Ishares US Fundamental I
CLU-C.to,Ishares US Fundamental I
COX-UN.to,Coxe Commodity Strategy
CPD-A.to,Ishares Sp TSX CDN Pref
CRQ-A.to,Ishares CAD Fundamental
CRR-UN.to,Crombie Real Estate Inve
CRT-UN.to,Ct Real Estate Investmen
CSH-UN.to,Chartwell Retirement Res
CSW-A.to,Corby Spirit and Wine Lt
CSW-B.to,Corby Spirit and Wine Lt
CTC-A.to,Canadian Tire Corporatio
CU-X.to,CDN Util Cl B
CUF-UN.to,Cominar R E Un
CUP-U.to,Caribbean Util US
CVD-A.to,Ishares Convertible Bond
CWO-A.to,Ishares Emg Mkts Fundame
CWT-UN.to,Calloway Real Estate Inv
CXA-B.to,Cons Hci Cl B
CYH-A.to,Ishares Global Monthly D
D-UN.to,Dream Office REIT
DC-A.to,Dundee Corp- Cl-A Sv
DHX-A.to,Dhx Media Ltd Class A
DHX-B.to,Dhx Media Ltd Class B
DII-A.to,Dorel Industries Inc- C
DII-B.to,Dorel Industries Inc- C
DIR-UN.to,Dream Industrial REIT
DRA-UN.to,Dream Hard Asset Alterna
DRG-UN.to,Dream Global REIT
EB-UN.to,F A Hamilton Capital EUR
EBC-UN.to,Europe Blue Chip Div and
EBF-UN.to,European Strategic Balan
EGI-UN.to,Excel India Growth and I
EGL-UN.to,Eagle Energy Trust
EIT-UN.to,Canoe Eit Income Fund Un
ELA-UN.to,Excel Latin America Bond
EMP-A.to,Empire Company Ltd- Cl-
ENI-UN.to,Energy Income Fund
EUR-A.to,First Trust Alphadex EUR
FDS-UN.to,First Trust Global Divid
FFI-UN.to,Flaherty & Crumrine Fixe
FIE-A.to,Ishares CDN Fin Mthly In
FSD-UN.to,First Trust Adv Sh Dur H
GCG-A.to,Guardian Capital Group L
GGT-UN.to,Goodman Gold Trust
GIB-A.to,CGI Group Inc- Cl-A Sv
GIF-UN.to,Global Infrastructure Di
GII-UN.to,Global Div Inv Gr- Incom
GRT-UN.to,Granite Real Estate Inve
GSB-UN.to,Goldman Sachs US Income
GTU-UN.to,Central Goldtrust
HAL-A.to,Horizons Active CDN Divi
HAY-UN.to,Stone Agribusiness Fund
HBF-UN.to,Brand Leaders Plus Incom
HBL-UN.to,Brand Leaders Income Fun
HEJ-A.to,Horizons Enhd Inc Intl E
HEN-UN.to,Energy Leaders Income Fd
HGI-UN.to,Global Adv Telecom Utili
HHL-UN.to,Healthcare Leaders Incom
HHY-UN.to,High Rock CDN High Yield
HMM-A.to,Hammond Manufacturing Co
HNZ-A.to,Hnz Group Inc Cl A
HNZ-B.to,Hnz Group Inc Cl B
HOT-UN.to,American Hotel Income Pr
HPF-UN.to,Energy Leaders Plus Inco
HPR-A.to,Horizons Active Preferre
HPS-A.to,Hammond Power Solutions
HR-UN.to,H&R Real Estate Inv Trus
HRR-UN.to,Australian REIT Income F
HTO-UN.to,Global Water Solutions F
HUL-UN.to,US Buyback Leaders Fund
HYB-UN.to,Ddj High Yield Fund
IFB-UN.to,Investment Grade Infrstr
IIP-UN.to,Interrent Real Estate In
INC-UN.to,Income Fin Un
INN-UN.to,Innvest REIT Trust Units
INO-UN.to,Inovalis REIT
KEG-UN.to,Keg Royalties Income Fun
KWH-UN.to,Crius Energy Trust
LAS-A.to,Lassonde Industries Inc-
LGT-A.to,Logistec Corporation Cl
LGT-B.to,Logistec Corporation Cl
LRT-UN.to,Lanesborough R-E- Invest
MBK-UN.to,Manulife US Regional Ban
MDZ-A.to,Mdc Partners Inc- Cl -A
MFR-UN.to,Manulife Floating Rate S
MHY-UN.to,Marret High Yield Strate
MID-UN.to,Mint Income Fund
MIF-UN.to,Marquest CDN Equity Inco
MIG-UN.to,Marret Investment Grade
MKZ-UN.to,Mackenzie Mstr Un
MMP-UN.to,Precious Metals and Mini
MPC-C.to,Madison Pacific Properti
MR-UN.to,Melcor REIT
MRG-UN.to,Morguard Na Residential
