Symbol,Description,Dividend Yield
ABT.to,Absolute Software Corp-,3.60
ABX.to,Barrick Gold Corporation,2.50
AC.to,Air Canada,N/A
ACC.to,Amica Mature,5.30
ACD.to,Accord Financial,3.50
ACQ.to,Autocanada Inc,3.10
AD.to,Alaris Royalty Corp-,5.70
ADN.to,Acadian Timber Corp,4.40
ADV.to,Alderon Iron Ore Corp,N/A
AEI.to,Arsenal Energy Inc-,8.80
AEM.to,Agnico Eagle Mines Limit,0.90
AEZ.to,Aeterna Zentaris Inc-,N/A
AF.to,Alarmforce J,1.30
AFN.to,Ag Growth International,6.80
AGI.to,Alamos Gold Inc-,2.80
AGT.to,Agt Food and Ingredients,2.20
AGU.to,Agrium Inc,3.00
AHF.to,Aston Hill Financial Inc,10.50
AI.to,Atrium Mortgage Investme,6.80
AIF.to,Altus Group Limited,3.10
AIM.to,Aimia Inc,6.30
AJX.to,Agjunction Inc,N/A
AKG.to,Asanko Gold Inc,N/A
ALA.to,Altagas Ltd-,5.80
ALB.to,Allbanc Split Banc Corp,N/A
ALC.to,Algoma Central,1.80
